Index,Simplified,Traditional,Pinyin,English,Hint
1,一些,一些,yì xiē,some,Fourth tone First tone 
2,问题,問題,wèn tí,question,Fourth tone Second tone
3,下雨,下雨,xià yǔ,to rain,Fourth tone Third tone
4,宿舍,宿舍,sù shè,dormitory,Fourth tone Fourth tone 
5,中学生,中學生,zhōng xué shēng,middle school student,First tone Second tone First tone
6,高中生,高中生,gāo zhōng shēng,high school student,First tone First tone First tone
7,有没有,有沒有,yǒu méi yǒu,have or not have,Third tone Second tone Third tone
8,不知道,不知道,bù zhī dào,don’t know,Fourth tone First tone Fourth tone
9,多读几遍,多讀幾遍,duō dú jǐ biàn,read several times,First tone Second tone Third tone Fourth tone
10,生日快乐,生日快樂,shēng rì kuài lè,happy birthday,First tone Fourth tone Fourth tone Fourth tone
11,公共汽车,公共汽車,gōng gòng qì chē,public bus,First tone Fourth tone Fourth tone First tone
12,没有问题,沒有問題,méi yǒu wèn tí,no problem,Second tone Third tone Fourth tone Second tone
13,你的生日是几月几号？,你的生日是幾月幾號？,Nǐ de shēng rì shì jǐ yuè jǐ hào?,When is your birthday?,Sentences
14,我的生日是十月三号。你呢？,我的生日是十月三號。你呢？,Wǒ de shēng rì shì shí yuè sān hào. Nǐ ne?,My birthday is October 3rd. How about you?,Sentences
15,我的生日是九月二十号。,我的生日是九月二十號。,Wǒ de shēng rì shì jiǔ yuè èr shí hào.,My birthday is September 20th.,Sentences
16,就是今天！祝你生日快乐！,就是今天！祝你生日快樂！,Jiù shì jīn tiān! Zhù nǐ shēng rì kuài lè!,It’s today! Happy birthday!,Sentences
